vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight,served_outcome,abstain_reason
margin,live-delta,0,0.0,0.214612,0.672433,0.0,0.992188,0.544059,0.694059,0.00440293550491333,0.6673038005828857,0.6629008650779724,0.6921788454055786,1.9980642795562744,0.5220003724098206,2,0,0,1,0,1,0,0.0,0.5367567539215088,2,stale-soft,0.0,6,0,0,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.214612,0.672433,0.0,0.992188,0.544059,0.694059,0.013249516487121582,0.8781955242156982,0.8649460077285767,0.6844462156295776,1.9826735258102417,0.5658625364303589,2,0,0,1,0,1,0,0.0,0.7532428503036499,2,stale-soft,0.0,6,1,0,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.214612,0.672433,0.0,0.992188,0.544059,0.694059,0.05329537391662598,0.7647343873977661,0.7114390134811401,0.8826525211334229,2.4173030853271484,0.6941395401954651,7,0,0,1,0,1,0,0.0,0.669069766998291,2,stale-soft,0.0,6,2,28,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.214612,0.672433,0.0,0.992188,0.544059,0.694059,0.0033568143844604492,0.8981385231018066,0.8947817087173462,0.6925840973854065,1.9988741874694824,0.5167778730392456,2,0,0,1,0,1,0,0.0,0.7440119385719299,2,stale-soft,0.0,6,3,0,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.214612,0.672433,0.0,0.992188,0.544059,0.694059,0.040418922901153564,0.707013726234436,0.6665948033332825,1.7407861948013306,5.701824188232422,0.3876580595970154,8,0,0,1,0,1,0,0.0,0.6180117130279541,2,stale-soft,0.0,6,4,1,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.214612,0.672433,0.0,0.992188,0.544059,0.694059,0.07569658756256104,0.7127097845077515,0.6370131969451904,0.607287585735321,1.8354461193084717,0.7909104824066162,3,0,0,1,0,1,0,0.0,0.3884698748588562,2,stale-soft,0.0,6,5,9,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.214612,0.672433,0.0,0.992188,0.544059,0.694059,0.107677161693573,0.7898891568183899,0.6822119951248169,1.0491313934326172,2.8551700115203857,0.7315910458564758,9,0,0,1,0,1,0,0.0,0.6876875758171082,2,stale-soft,0.0,6,6,19,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.214612,0.672433,0.0,0.992188,0.544059,0.694059,0.011125922203063965,0.7458006739616394,0.7346747517585754,1.783332347869873,5.949649810791016,0.2956141233444214,8,0,0,1,0,1,0,0.0,0.5983449220657349,2,stale-soft,0.0,6,7,11,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.214612,0.672433,0.0,0.992188,0.544059,0.694059,0.013192892074584961,0.5580552816390991,0.5448623895645142,0.6845197081565857,1.9828193187713623,0.5655844211578369,2,0,0,1,0,1,0,0.0,0.3493756055831909,2,stale-soft,0.0,6,8,10,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.214612,0.672433,0.0,0.992188,0.544059,0.694059,0.07558119297027588,0.79444420337677,0.7188630104064941,0.9196768999099731,2.5084798336029053,0.6993492245674133,6,0,0,1,0,1,0,0.0,0.6821513772010803,2,stale-soft,0.0,6,10,26,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.214612,0.672433,0.0,0.992188,0.544059,0.694059,0.01192241907119751,0.8878563046455383,0.8759338855743408,0.6860901117324829,1.9859355688095093,0.5593314170837402,2,0,0,1,0,1,0,0.0,0.6696487069129944,2,stale-soft,0.0,6,11,29,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.214612,0.672433,0.0,0.992188,0.544059,0.694059,0.03325176239013672,0.8003379702568054,0.7670862078666687,1.6050829887390137,4.978272914886475,0.3900376260280609,8,0,0,1,0,1,0,0.0,0.680311918258667,2,stale-soft,0.0,6,12,1,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
